what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1375824318363
stopped,bundle,com.objectaid.uml.addon.java,1.1.2,"com.objectaid.uml.addon.java",1375824318363
stopped,bundle,com.objectaid.uml.addon,1.1.2,"com.objectaid.uml.addon",1375824318363
stopped,bundle,com.objectaid.uml.cls.java,1.1.2,"com.objectaid.uml.cls.java",1375824318366
stopped,bundle,com.objectaid.uml.cls,1.1.2,"com.objectaid.uml.cls",1375824318366
stopped,bundle,com.objectaid.uml.seq.java,1.1.2,"com.objectaid.uml.seq.java",1375824318367
stopped,bundle,com.objectaid.uml.java,1.1.2,"com.objectaid.uml.java",1375824318368
stopped,bundle,com.objectaid.uml.seq,1.1.2,"com.objectaid.uml.seq",1375824318368
stopped,bundle,com.objectaid.uml,1.1.2,"com.objectaid.uml",1375824318368
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1375824318370
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1375824318371
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1375824318372
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1375824318374
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1375824318375
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1375824318376
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.200.v201004290730,"org.eclipse.jst.j2ee.ejb.annotations.ui",1375824318377
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.ui.dse",1375824318378
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1375824318379
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1375824318380
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1375824318380
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1375824318381
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1375824318382
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1375824318383
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1375824318383
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1375824318384
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1375824318385
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1375824318386
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1375824318391
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1375824318392
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1375824318393
